plan_id,wall_ts,n_poses,path_length_m,robot_x,robot_y,goal_x,goal_y
0,1776895765.192,84,4.30,71.086,-22.229,73.623,-19.127
1,1776895770.228,76,3.85,71.265,-21.856,73.650,-19.350
2,1776895770.231,76,3.85,71.265,-21.856,73.650,-19.350
3,1776895780.323,134,6.86,71.839,-20.846,76.274,-16.079
4,1776895780.339,134,6.86,71.839,-20.846,76.274,-16.079
5,1776895785.381,123,6.21,72.291,-20.362,76.274,-16.079
6,1776895785.384,123,6.21,72.291,-20.362,76.274,-16.079
7,1776895790.428,144,7.22,73.760,-19.069,76.150,-16.350
8,1776895790.433,144,7.22,73.760,-19.069,76.150,-16.350
9,1776895794.890,601,30.14,74.363,-18.570,77.167,-12.133
10,1776895794.914,601,30.14,74.363,-18.570,77.167,-12.133
11,1776895799.944,572,28.65,74.794,-17.969,77.167,-12.133
12,1776895799.962,572,28.65,74.794,-17.969,77.167,-12.133
13,1776895804.987,563,28.39,74.792,-17.272,77.167,-12.133
14,1776895805.002,563,28.39,74.792,-17.272,77.167,-12.133
15,1776895810.037,578,29.06,74.429,-16.628,77.167,-12.133
16,1776895810.052,578,29.06,74.429,-16.628,77.167,-12.133
17,1776895815.090,591,29.64,74.017,-16.405,77.167,-12.133
18,1776895815.114,591,29.64,74.017,-16.405,77.167,-12.133
19,1776895820.146,607,30.39,73.549,-16.442,77.167,-12.133
20,1776895820.162,607,30.39,73.412,-16.454,77.167,-12.133
21,1776895825.188,584,29.27,72.309,-16.570,77.167,-12.133
22,1776895825.206,584,29.27,72.309,-16.570,77.167,-12.133
23,1776895830.236,509,26.04,70.488,-16.818,77.167,-12.133
24,1776895830.251,509,26.04,70.488,-16.818,77.167,-12.133
25,1776895835.291,650,32.58,69.519,-16.995,77.167,-12.133
26,1776895835.308,650,32.58,69.519,-16.995,77.167,-12.133
27,1776895840.340,675,33.92,68.618,-17.492,77.167,-12.133
28,1776895840.358,675,33.92,68.618,-17.492,77.167,-12.133
29,1776895845.391,669,33.52,67.053,-17.525,77.167,-12.133
30,1776895845.407,669,33.52,67.053,-17.525,77.167,-12.133
31,1776895850.440,610,30.83,64.995,-17.564,77.167,-12.133
32,1776895850.455,610,30.83,64.995,-17.564,77.167,-12.133
33,1776895855.493,544,27.37,63.020,-17.681,77.167,-12.133
34,1776895855.514,544,27.37,63.020,-17.681,77.167,-12.133
35,1776895860.536,489,24.79,61.593,-17.363,77.167,-12.133
36,1776895860.549,489,24.79,61.593,-17.363,77.167,-12.133
37,1776895865.585,462,23.19,60.168,-16.377,77.167,-12.133
38,1776895865.597,462,23.19,60.168,-16.377,77.167,-12.133
39,1776895870.637,426,21.37,59.148,-15.176,77.167,-12.133
40,1776895870.649,426,21.37,59.148,-15.176,77.167,-12.133
41,1776895875.688,416,20.85,59.010,-14.216,77.167,-12.133
42,1776895875.699,416,20.85,59.010,-14.216,77.167,-12.133
43,1776895880.734,437,21.89,59.548,-13.396,77.167,-12.133
44,1776895880.747,437,21.89,59.548,-13.396,77.167,-12.133
45,1776895890.831,461,23.25,60.593,-12.233,77.167,-12.133
46,1776895890.843,461,23.25,60.593,-12.233,77.167,-12.133
47,1776895895.892,452,22.93,60.576,-11.738,77.167,-12.133
48,1776895895.905,452,22.93,60.576,-11.738,77.167,-12.133
49,1776895900.937,444,22.35,60.506,-11.261,77.167,-12.133
50,1776895900.952,444,22.35,60.506,-11.261,77.167,-12.133
51,1776895905.993,426,21.37,60.268,-10.233,77.167,-12.133
52,1776895906.005,426,21.37,60.268,-10.233,77.167,-12.133
53,1776895911.034,418,21.12,60.160,-9.757,77.167,-12.133
54,1776895911.048,418,21.12,60.160,-9.757,77.167,-12.133
55,1776895916.093,545,28.08,60.031,-8.572,77.167,-12.133
56,1776895916.109,545,28.08,60.031,-8.572,77.167,-12.133
57,1776895921.138,536,27.36,60.149,-7.672,77.167,-12.133
58,1776895921.152,536,27.36,60.149,-7.672,77.167,-12.133
59,1776895926.191,523,26.71,60.442,-7.370,77.167,-12.133
60,1776895926.204,523,26.71,60.442,-7.370,77.167,-12.133
61,1776895931.232,332,16.66,61.216,-6.188,77.167,-12.133
62,1776895931.246,332,16.66,61.216,-6.188,77.167,-12.133
63,1776895936.282,312,15.74,61.793,-5.179,77.167,-12.133
64,1776895936.290,312,15.74,61.793,-5.179,77.167,-12.133
65,1776895941.332,293,14.74,62.801,-4.858,77.167,-12.133
66,1776895941.339,293,14.74,62.801,-4.858,77.167,-12.133
67,1776895946.381,251,13.03,64.741,-4.828,77.167,-12.133
68,1776895946.389,251,13.03,64.741,-4.828,77.167,-12.133
69,1776895961.535,392,20.60,67.414,-4.208,77.167,-12.133
70,1776895961.545,392,20.60,67.414,-4.208,77.167,-12.133
71,1776895971.633,213,10.72,67.350,-2.997,77.167,-12.133
72,1776895971.639,213,10.72,67.350,-2.997,77.167,-12.133
73,1776895976.680,217,10.91,67.242,-2.520,77.167,-12.133
74,1776895976.687,217,10.91,67.242,-2.520,77.167,-12.133
75,1776895991.831,220,11.08,67.897,-1.142,77.167,-12.133
76,1776895991.837,220,11.08,67.897,-1.142,77.167,-12.133
77,1776895996.881,229,11.52,67.885,-0.538,77.167,-12.133
78,1776895996.887,229,11.52,67.885,-0.538,77.167,-12.133
79,1776896006.979,194,9.79,68.487,0.488,77.167,-12.133
80,1776896006.987,194,9.79,68.487,0.488,77.167,-12.133
81,1776896017.080,142,7.14,68.707,1.245,77.167,-12.133
82,1776896017.085,142,7.14,68.707,1.245,77.167,-12.133
83,1776896036.344,129,6.60,68.749,5.103,77.277,-8.382
84,1776896036.360,129,6.60,68.749,5.103,77.277,-8.382
85,1776896041.383,261,13.17,68.385,6.225,77.050,-9.050
86,1776896041.391,261,13.17,68.385,6.225,77.050,-9.050
87,1776896046.495,239,12.07,68.271,7.643,76.877,-9.082
88,1776896046.500,239,12.07,68.271,7.643,76.877,-9.082
89,1776896051.595,230,11.61,67.916,9.179,76.877,-9.082
90,1776896051.601,230,11.61,67.916,9.179,76.877,-9.082
91,1776896063.281,193,9.86,66.608,11.650,76.988,-4.022
92,1776896063.286,193,9.86,66.608,11.650,76.988,-4.022
